club_name,club_url
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2024
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2024
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2024
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2024
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2024
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2024
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2024
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2024
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2024
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2024
Nottingham Forest,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2024
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2024
AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2024
Brentford FC,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2024
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2024
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2024
Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2024
Ipswich Town,https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2024
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2024
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2024
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2024
Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2024
Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2024
Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2024
Middlesbrough FC,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2024
Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2024
Luton Town,https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2024
Coventry City,https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2024
West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2024
Hull City,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2024
Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2024
Blackburn Rovers,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2024
Queens Park Rangers,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2024
Cardiff City,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2024
Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2024
Bristol City,https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2024
Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2024
Preston North End,https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2024
Millwall FC,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2024
Sheffield Wednesday,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035/saison_id/2024
Plymouth Argyle,https://www.transfermarkt.com/plymouth-argyle/startseite/verein/2262/saison_id/2024
Derby County,https://www.transfermarkt.com/derby-county/startseite/verein/22/saison_id/2024
Portsmouth FC,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020/saison_id/2024
Oxford United,https://www.transfermarkt.com/oxford-united/startseite/verein/988/saison_id/2024
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2024
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2024
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2024
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2024
VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2024
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2024
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2024
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2024
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2024
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2024
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2024
SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2024
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2024
1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2024
1.FC Heidenheim 1846,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2024
FC St. Pauli,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2024
VfL Bochum,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80/saison_id/2024
Holstein Kiel,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2024
1.FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2024
1.FC Nuremberg,https://www.transfermarkt.com/1-fc-nurnberg/startseite/verein/4/saison_id/2024
Hamburger SV,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2024
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2024
Fortuna Düsseldorf,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2024
