name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),Asus,Laptop,Bạc,12690000.0,12690000.0,RAM 16 GB,SSD 512 GB,0,4.9,18300
HP 15 fc0085AU R5 7430U (A6VV8PA),HP,Laptop,Vàng,13390000.0,13390000.0,RAM 16 GB,SSD 512 GB,0,4.9,8200
Dell Inspiron 15 3520 i5 1235U (N5I5057W1),Dell,Laptop,Bạc,16490000.0,16490000.0,RAM 16 GB,SSD 512 GB,0,4.9,2000
MacBook Air 13 inch M4 16GB/256GB,MacBook,Laptop,Xanh da trời nhạt,26990000.0,26990000.0,RAM 16 GB,SSD 256 GB,0,4.9,764
Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),Acer,Laptop,Bạc,10090000.0,10090000.0,RAM 8 GB,SSD 256 GB,0,5,263
HP 15 fd0234TU i5 1334U (9Q969PA),HP,Laptop,Vàng,15690000.0,15690000.0,RAM 16 GB,SSD 512 GB,0,4.9,7300
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),Asus,Laptop,Bạc,16190000.0,16190000.0,RAM 16 GB,SSD 512 GB,0,4.9,6900
Acer Aspire 7 A715 76 53PJ i5 12450H (NH.QGESV.007),Acer,Laptop,Đen,13990000.0,13990000.0,RAM 16 GB,SSD 512 GB,0,4.9,1600
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN),Lenovo,Laptop,Xám,17690000.0,17690000.0,RAM 16 GB,SSD 512 GB,0,4.9,1300
MSI Gaming Thin 15 B12UCX i5 12450H (2046VN),MSI,Laptop,Xám,15690000.0,15690000.0,RAM 16 GB,SSD 512 GB,0,5,1400
HP 15 fd0303TU i3 1315U (A2NL4PA),HP,Laptop,Vàng,11290000.0,11290000.0,RAM 8 GB,SSD 512 GB,0,5,6200
MacBook Air 13 inch M1 8GB/256GB,MacBook,Laptop,Xám,17490000.0,17490000.0,RAM 8 GB,SSD 256 GB,0,4.9,13000
Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),Acer,Laptop,Đen,17690000.0,17690000.0,RAM 16 GB,SSD 512 GB,0,5,449
Asus Vivobook 16 X1605VA i5 1335U (MB360W),Asus,Laptop,Bạc,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,4400
Dell Inspiron 15 3520 i7 1255U (N5I7125W1),Dell,Laptop,Bạc,19490000.0,19490000.0,RAM 16 GB,SSD 512 GB,0,4.9,1100
