name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Samsung Galaxy S25 Edge 5G 12GB/256GB,Samsung,Điện thoại,Xanh Dương,29990000.0,29990000.0,12GB,256GB,0,0,0
Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,Xiaomi,Điện thoại,Xanh Dương,10690000.0,10690000.0,8GB,256GB,0,4.9,4200
iPhone 16 Pro Max 256GB,iPhone (Apple),Điện thoại,Titan Sa Mạc,30590000.0,30590000.0,N/A,256GB,0,4.9,163100
iPhone 16 Pro 128GB,iPhone (Apple),Điện thoại,Titan trắng,25090000.0,25090000.0,N/A,128GB,0,4.9,18200
Samsung Galaxy A56 5G 12GB/256GB,Samsung,Điện thoại,Xám,11190000.0,11190000.0,12GB,256GB,0,4.9,9900
vivo V50 Lite 8GB/256GB,vivo,Điện thoại,Tím,8990000.0,8990000.0,8GB,256GB,0,5,1100
realme 14 5G 12GB/256GB,realme,Điện thoại,Bạc,10490000.0,10490000.0,12GB,256GB,0,5,118
Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,Điện thoại,Đen,7990000.0,7990000.0,8GB,256GB,0,4.9,28700
OPPO Find N5 5G 16GB/512GB,OPPO,Điện thoại,Đen,44990000.0,44990000.0,16GB,512GB,0,5,143
OPPO Reno13 5G 12GB/256GB,OPPO,Điện thoại,Xanh Dương,14790000.0,14790000.0,12GB,256GB,0,4.9,11100
vivo V50 Lite 5G 8GB/256GB,vivo,Điện thoại,Vàng,9990000.0,9990000.0,8GB,256GB,0,5,1300
realme 14T 5G 8GB/256GB,realme,Điện thoại,Đen,8290000.0,8290000.0,8GB,256GB,0,5,244
HONOR X8c 8GB/256GB,HONOR,Điện thoại,Trắng,6890000.0,6890000.0,8GB,256GB,0,4.9,886
Tecno Spark 30 8GB/128GB,Tecno,Điện thoại,Trắng,3590000.0,3590000.0,8GB,128GB,0,4.9,576
Masstel S9 6GB/256GB,Masstel,Điện thoại,N/A,0,0,6GB,256GB,0,5,196
iPhone 16 Plus 128GB,iPhone (Apple),Điện thoại,Xanh Lưu Ly,22290000.0,22290000.0,N/A,128GB,0,4.9,10600
iPhone 16 128GB,iPhone (Apple),Điện thoại,Xanh Mòng Két,19090000.0,19090000.0,N/A,128GB,0,4.9,12300
Samsung Galaxy A06 5G 6GB/128GB,Samsung,Điện thoại,Đen,4290000.0,4290000.0,6GB,128GB,0,5,14500
Samsung Galaxy A36 5G 12GB/256GB,Samsung,Điện thoại,Xanh lá,9490000.0,9490000.0,12GB,256GB,0,5,1900
Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,Điện thoại,Vàng,9490000.0,9490000.0,8GB,256GB,0,4.9,22000
OPPO Reno13 Pro 5G 12GB/512GB,OPPO,Điện thoại,Tím,18490000.0,18490000.0,12GB,512GB,0,4.9,3400
OPPO Reno13 F 8GB/256GB,OPPO,Điện thoại,Tím,8990000.0,8990000.0,8GB,256GB,0,4.9,3500
realme C75x 8GB/128GB,realme,Điện thoại,Hồng,5290000.0,5290000.0,8GB,128GB,0,5,4100
Xiaomi Redmi 13x 6GB/128GB,Xiaomi,Điện thoại,Vàng,4290000.0,4290000.0,6GB,128GB,0,4.9,15400
HONOR X9c Smart 5G 12GB/256GB,HONOR,Điện thoại,Xanh Dương,7790000.0,7790000.0,12GB,256GB,0,4.9,2700
Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,Điện thoại,Xanh Dương,28990000.0,28990000.0,12GB,256GB,0,4.9,6900
iPhone 16e 128GB,iPhone (Apple),Điện thoại,Trắng,16190000.0,16190000.0,N/A,128GB,0,4.9,2400
iPhone 15 128GB,iPhone (Apple),Điện thoại,Vàng nhạt,15890000.0,15890000.0,N/A,128GB,0,4.9,55600
Samsung Galaxy Z Fold6 5G 12GB/256GB,Samsung,Điện thoại,Xám,37990000.0,37990000.0,12GB,256GB,0,4.9,3700
Samsung Galaxy A35 5G 8GB/256GB,Samsung,Điện thoại,Xanh,8190000.0,8190000.0,8GB,256GB,0,4.9,89300
Xiaomi 15 5G 12GB/512GB,Xiaomi,Điện thoại,Trắng,24490000.0,24490000.0,12GB,512GB,0,5,534
Xiaomi 15 Ultra 5G 16GB/512GB Trắng,Xiaomi,Điện thoại,Trắng,32990000.0,32990000.0,N/A,Trắng,0,5,140
