crawl_timestamp,price_date,gold_type,buy_price,sell_price,source
1744713510761,2025-03-16,SJC,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510761,2025-03-16,DOJI HN,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510761,2025-03-16,DOJI SG,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510762,2025-03-16,BTMC SJC,94500,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510762,2025-03-16,Phú Qúy SJC,94500,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510762,2025-03-16,PNJ TP.HCM,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713510762,2025-03-16,PNJ Hà Nội,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449750,2025-03-16,SJC,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449757,2025-03-16,DOJI HN,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449757,2025-03-16,DOJI SG,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449757,2025-03-16,BTMC SJC,94500,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449757,2025-03-16,Phú Qúy SJC,94500,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449758,2025-03-16,PNJ TP.HCM,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714449758,2025-03-16,PNJ Hà Nội,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489072,2025-03-10,SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489073,2025-03-10,DOJI HN,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489073,2025-03-10,DOJI SG,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489074,2025-03-10,BTMC SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489075,2025-03-10,Phú Qúy SJC,91100,93100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489075,2025-03-10,PNJ TP.HCM,91800,93350,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713489075,2025-03-10,PNJ Hà Nội,91800,93350,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555791,2025-04-13,SJC,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555792,2025-04-13,DOJI HN,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555793,2025-04-13,DOJI SG,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555794,2025-04-13,BTMC SJC,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555794,2025-04-13,Phú Qúy SJC,102500,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555795,2025-04-13,PNJ TP.HCM,101200,104900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714555795,2025-04-13,PNJ Hà Nội,101200,104900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486139,2025-03-25,SJC,95900,97900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486142,2025-03-25,DOJI HN,95900,97900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486143,2025-03-25,DOJI SG,95900,97900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486147,2025-03-25,BTMC SJC,96000,97900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486147,2025-03-25,Phú Qúy SJC,95900,97900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486148,2025-03-25,PNJ TP.HCM,96100,98700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714486148,2025-03-25,PNJ Hà Nội,96100,98700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477381,2025-03-07,SJC,91100,93100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477382,2025-03-07,DOJI HN,91100,93100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477382,2025-03-07,DOJI SG,91100,93100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477382,2025-03-07,BTMC SJC,91100,93100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477383,2025-03-07,Phú Qúy SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477383,2025-03-07,PNJ TP.HCM,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713477383,2025-03-07,PNJ Hà Nội,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445339,2025-02-27,SJC,88900,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445340,2025-02-27,DOJI HN,88900,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445341,2025-02-27,DOJI SG,88900,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445341,2025-02-27,BTMC SJC,89200,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445342,2025-02-27,Phú Qúy SJC,89200,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445345,2025-02-27,PNJ TP.HCM,90300,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713445346,2025-02-27,PNJ Hà Nội,90300,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453355,2025-03-01,SJC,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453356,2025-03-01,DOJI HN,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453357,2025-03-01,DOJI SG,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453358,2025-03-01,BTMC SJC,88700,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453358,2025-03-01,Phú Qúy SJC,88700,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453359,2025-03-01,PNJ TP.HCM,89800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713453359,2025-03-01,PNJ Hà Nội,89800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402071,2025-02-16,SJC,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402074,2025-02-16,DOJI HN,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402074,2025-02-16,DOJI SG,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402075,2025-02-16,BTMC SJC,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402075,2025-02-16,Phú Qúy SJC,87500,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402076,2025-02-16,PNJ TP.HCM,88300,90200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713402076,2025-02-16,PNJ Hà Nội,88300,90200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552706,2025-04-12,SJC,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552707,2025-04-12,DOJI HN,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552707,2025-04-12,DOJI SG,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552707,2025-04-12,BTMC SJC,103000,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552708,2025-04-12,Phú Qúy SJC,102500,106500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552708,2025-04-12,PNJ TP.HCM,101200,104900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714552709,2025-04-12,PNJ Hà Nội,101200,104900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463913,2025-03-20,SJC,97800,99800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463914,2025-03-20,DOJI HN,97800,99800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463914,2025-03-20,DOJI SG,97800,99800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463914,2025-03-20,BTMC SJC,98000,99800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463914,2025-03-20,Phú Qúy SJC,98000,99800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463914,2025-03-20,PNJ TP.HCM,98100,99900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714463915,2025-03-20,PNJ Hà Nội,98100,99900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397320,2025-02-15,SJC,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397321,2025-02-15,DOJI HN,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397321,2025-02-15,DOJI SG,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397321,2025-02-15,BTMC SJC,87300,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397321,2025-02-15,Phú Qúy SJC,87500,90300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397321,2025-02-15,PNJ TP.HCM,88300,90200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713397322,2025-02-15,PNJ Hà Nội,88300,90200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410786,2025-02-18,SJC,88600,91100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410786,2025-02-18,DOJI HN,88600,91100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410787,2025-02-18,DOJI SG,88600,91100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410787,2025-02-18,BTMC SJC,88600,91100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410787,2025-02-18,Phú Qúy SJC,88700,91100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410788,2025-02-18,PNJ TP.HCM,89400,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713410788,2025-02-18,PNJ Hà Nội,89400,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420390,2025-02-20,SJC,90000,92300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420391,2025-02-20,DOJI HN,90000,92300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420391,2025-02-20,DOJI SG,90000,92300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420392,2025-02-20,BTMC SJC,90100,92300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420392,2025-02-20,Phú Qúy SJC,90100,92300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420392,2025-02-20,PNJ TP.HCM,90400,92200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713420392,2025-02-20,PNJ Hà Nội,90400,92200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530063,2025-04-06,SJC,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530064,2025-04-06,DOJI HN,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530064,2025-04-06,DOJI SG,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530064,2025-04-06,BTMC SJC,97200,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530065,2025-04-06,Phú Qúy SJC,97300,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530065,2025-04-06,PNJ TP.HCM,97500,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714530065,2025-04-06,PNJ Hà Nội,97500,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502828,2025-03-14,SJC,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502828,2025-03-14,DOJI HN,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502829,2025-03-14,DOJI SG,94300,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502829,2025-03-14,BTMC SJC,94400,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502829,2025-03-14,Phú Qúy SJC,94500,95800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502829,2025-03-14,PNJ TP.HCM,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713502830,2025-03-14,PNJ Hà Nội,94500,96200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713437829,2025-02-25,SJC,89700,92000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
